Grid Size,Error (UD1/CD2),Error (CD2/CD2),Error (UD3/CD2),Error (UD3/CD4),Error (CD4/CD2),Error (CD4/CD4)
41,0.2842913656514163,0.07245623591824712,0.011430771670490315,0.040449081621009846,0.06857898472733841,0.02350054528532307
81,0.2083202858506252,0.02404899988987913,0.011537414850664165,0.0102792848913846,0.02455103803149985,0.0035033501207898496
161,0.12721435842410722,0.006977827102575802,0.004967856886603936,0.0018595478708346813,0.0070719387247826495,0.00028959626168229447
321,0.07044457792507294,0.0018827584212151912,0.0015991691098053407,0.0002757102467301053,0.0018910177396251322,1.804520068570662e-05
641,0.03708637761633253,0.0004892157755303634,0.00045164277164351263,3.719113164039718e-05,0.0004897955676596964,1.0309714634103575e-06
1281,0.019029997295817044,0.0001247019015723139,0.00011987044908639592,4.812466497187148e-06,0.00012473966082918975,5.908287212204202e-08
2561,0.009639394916320107,3.148051467478072e-05,3.0868115890641176e-05,6.113908661933735e-07,3.148291053955015e-05,3.4795903226026545e-09
5121,0.004851139467045863,7.908595306618851e-06,7.83151265278282e-06,7.702474567807124e-08,7.908744066619746e-06,2.0906214015938506e-10
